nngc 快到
ueuh 前站
ueuj 遂意
ueuk 前部
ueum 前端
ueuq 前次
ueut 剖腹产
ueuy 前门
uevd 亲朋好友
uevn 剪刀
uevu 前嫌
uewa 前代
uewd 前段
uewf 前传
uewg 前例
uewh 前个
uewq 前仰
uewr 装腔作势
uewt 前途 前任
uewv 前仇
ueww 前人
uewx 前倾
uexc 前缀
uexg 前线
uexq 剪纸
uexx 前缘
uey 瘃
ueyi 瘃
ueyn 前记
ueys 剪床
ueyt 前庭
ueyw 前夜
ueyx 普及率
ueyy 前方 前言 前文
uf 半
ufaa 壮工
ufaf 装蒜
ufaj 闭幕
ufal 壮苗
ufan 半世
ufaq 斗殴
ufaw 兰花
ufbb 半子
ufbj 冰雪聪明
ufbm 装出
ufbp 养老院
ufc 阖
ufce 斗勇
ufcl 阖
ufcm 壮观
ufcq 斗鸡
ufdd 壮大 凌厉
ufde 装有
ufdf 凌辱
ufdh 装在
ufdj 半百
ufdn 装成
ufdw 前无古人 立地成佛
ufee 半月
ufeg 半悬
ufej 斗胆 壮胆
ufep 装腔
ufes 半腰
ufet 斗胜
ufex 尊老爱幼
uff 兰
uffa 装载 半截
uffc 装运
uffd 闺
ufff 装填
uffg 斗士 壮士
uffh 半坡
uffi 痔
uffj 装进
uffn 斗志 壮志 半场
uffp 装过
uffr 冰魂雪魄
uffs 壮志未酬
ufft 兰考
uffy 冰封雪裹
ufg 壮
ufga 半开
ufgc 装到
ufgd 半天
ufgf 半球
ufgg 闭环
ufgh 背城一战
ufgk 装束
ufgm 壮丽
ufgq 壮烈 半死
ufh 阗
ufha 凌虐
ufhh 装上 闭上 闭目
ufhi 半步
ufhj 半旧
ufhk 半点 装点
ufhm 癫
ufhv 闭眼
ufhw 阗
ufia 装潢 装满
ufic 壮汉
ufie 兰溪
ufif 斗法
ufih 冲击波
ufin 凌汛
ufis 北戴河
ufiw 壮举
ufjd 凌晨
ufjf 半时 背地里
ufjj 半日
ufjp 闲云野鹤
ufjr 斗志昂扬
ufjt 半晌
ufk 斗 半
ufka 闻者足戒
ufkh 闭嘴 半路 闭路
ufkk 闭口
ufkm 总动员
uflf 装置
uflg 装车
uflh 装甲
uflk 凌驾 半圆
uflp 半边
uflt 意志力
uflu 半圈
ufmf 闻过则喜
ufmh 装帧
ufmm 半山
ufmt 斗败
ufn 闱
ufng 壮怀
ufnh 闱
ufni 痣
ufnk 半壁
ufny 凌迟
ufoe 壮士断腕
ufou 装料
ufov 半数
ufpe 阖家
ufpf 闭塞
ufpg 斗室
ufpu 壮实
ufpw 半空 凌空
ufqb 闺怨
ufqe 半角
ufqf 北坡镇
ufqg 北朝鲜
ufqi 闭锁
ufqk 半句
ufqn 装饰
ufqo 六朝金粉
ufqq 养老金
ufqt 癫狂
ufqv 斗争
ufqy 半岛
ufra 斗拱
ufrd 半掩
ufrh 半年 壮年 装卸
ufrm 装罐
ufrn 斗气
ufrr 半拍
ufru 半拉
ufrw 装扮
ufrx 前赴后继
ufsa 装框
ufsf 半票
ufsg 装配 壮丁
ufsh 装相
ufsk 壮歌
ufsm 装机
ufst 单元格
ufsu 装样
uft 闭
uftc 半径
uftd 凌乱 斗智
ufte 闭
uftf 壮行
uftg 半生 卷土重来
uftk 半程
uftl 装备
uftm 半身
ufts 装箱
uftt 斗篷
uftu 斗笠
uftv 半老徐娘
ufty 装入
ufua 半瓶
ufuc 亲者痛
ufud 闭关
ufuf 壮志凌云
ufug 装病 壮美
ufui 壮阔
ufuj 半音
ufuk 半部
ufum 装疯
ufur 闷声闷气
ufut 半道
ufuu 癫痫
ufuw 痔疮 半真半假
ufux 养老送终
ufuy 闭门
ufvb 装好
ufvv 闺女
ufw 凌
ufwa 装袋
ufwf 闭会
ufwg 闭合
ufwh 装修
ufwm 半仙
ufwn 装假
ufws 半休
ufwt 装作 凌
ufwv 半分
ufww 半价
ufwx 装货
ufxa 总教练
ufxc 闭经
ufxe 半级
ufxf 闭结
ufxu 凌弱
ufy 装
ufya 半遮
ufye 装
ufyg 准考证
ufyj 装裹
ufym 装设
ufyn 闺房
ufyp 兰亭
ufys 装订
ufyt 兰州 壮族
ufyw 半夜
ufyx 背井离乡
ufyy 斗方
ug 闰
ugaa 美工
ugad 凄苦 道琼斯
ugaj 羡慕
ugal 病菌
ugam 美英
ugan 盖世
ugaq 病区
ugau 盖茨
ugav 凄切
ugbb 盖子 痞子
ugbp 病院
ugby 冷不防
ugce 决不能
ugcm 美观
ugd 闰 闩
ugdc 病友
ugdd 凄厉
ugde 盖有
ugdg 美感
ugdh 美艳 凄艳
ugdl 病历
ugdm 盖布
ugdp 盖碗
ugdr 病原
ugdt 病故
ugdu 美
ugdw 疲于奔命
ugdy 病态
uge 靖
ugeb 美乳
ugee 美貌
ugeg 靖
ugen 美不胜收
ugeq 决一胜负
uger 前列腺
ugev 美腿
ugff 冰天雪地
ugfh 交不起
ugfl 美协
ugfn 美声
ugfp 盖过
ugfq 美元
ugfw 病夫
uggd 前两天
uggf 立于不败之地
uggh 决一死战
uggi 半死不活
uggj 病理
uggk 美事
uggm 美丽
uggq 病死
uggx 病毒
uggy 美玉
ugh 症
ughc 羔皮
ughd 症
ughh 盖上
ughk 差一点
ughq 美餐
ugi 痞
ugia 美满
ugid 病源
ugig 凄清
ugik 痞
ugin 姜汤
ugip 美学
ugis 美酒
ugiu 总政治部
ugiw 美誉
ugiy 美洲
ugjg 并不是
ugjh 病虫
ugjj 美日
ugjy 美景
ugk 辣 竦
ugkd 痦
ugke 逆来顺受
ugkf 美味
ugkg 病号
ugki 辣 竦
ugkj 瘌
ugkk 病患
ugkl 凄咽
ugkm 病员 癞
ugkq 病史
ugku 痘
ugl 盖
ugld 病因
uglf 盖
uglg 美国
ugli 阑
uglk 头一回
ugll 美男
uglp 靖边
uglt 美图
ugm 病
ugmh 盖帽
ugmq 凄风
ugmw 病
ugmy 普天同庆
ugn 恙
ugna 美展
ugnc 凄惨
ugnf 美丑
ugng 病情
ugnh 美眉
ugnm 凄恻
ugnr 凄惶
ugnt 美发
ugnu 恙
ugnw 凄怆
ugo 羔
ugod 羹
ugof 病灶
ugog 痖
ugop 凄迷
ugou 羔
ugpd 病害
ugpe 病家
ugpl 美军
ugpn 间不容发
ugpu 盖被
ugpv 病案
ugpw 美容
ugpy 美神
ugq 冽
ugqc 美色
ugqd 病危 凄然
ugqg 盖印
ugqi 美钞
ugqj 冽
ugqk 美名
ugqn 盖饭
ugqq 差不多 美金
ugqy 前不久
ugre 美援
ugrf 美质
ugrg 病后
ugrh 闰年
ugrk 道不拾遗
ugrm 美制
ugrn 美气
ugrq 美的
ugrr 病逝
ugrt 辣手
ugrv 病势
ugrw 资不抵债
ugsd 盖顶
ugsg 冷不丁
ugsh 辣椒
ugsj 病榻
ugso 盖楼
ugsr 盖板
ugss 美梦 凄楚
ugst 美格
ugsv 病根
ugsy 美术
ugt 羲
ugtc 病笃
ugtd 美籍
ugtf 美德
ugtg 病重
ugth 问事处
ugtk 病程
ugtq 美称
ugtt 羲
ugty 阑入
ugu 羡
uguc 病痛
ugud 症状 美差 羔羊
uguf 瘗
ugug 病症 凄美
uguj 盖章 美意
uguk 病况
ugum 病疫
ugup 美帝
uguq 辣酱
ugus 帝王将相
ugut 美颜
uguw 羡
uguy 凄凉
ugv 姜
ugvb 美好
ugve 病退
ugvf 姜
ugvi 美妙
ugvp 凄婉
ugvv 美女 凄
ugvw 疾恶如仇
ugvy 羡妒
ugwa 新一代
ugwf 决不会
ugwg 病例 病倒
ugwh 症候
ugwn 病假
ugwq 阎王爷
ugws 病休 病体
ugwt 痛不欲生
ugwu 善与人交
ugwv 美分
ugww 病人 美人
ugwx 美化
ugwy 美食 盖住
ugx 冱
ugxf 症结
ugxg 冱
ugxq 凄绝
ugxu 病弱
ugxw 痍
ugxx 并不比
ugxy 美编
ugy 癍
ugyb 差不离
ugyc 美育
ugyg 美语 癍
ugyn 病房
ugyo 病变 美谈
ugys 病床 病魔
ugyv 靖康
ugyw 羞与为伍
ugyy 美方 美言
uh 站
uhap 疲劳
uhbw 站队
uhc 疲
uhci 疲
uhck 站台
uhd 阒
uhdh 站在
uhdi 阒
uhdj 立此存照
uhfh 站直
uhga 站开
uhgb 疲顿
uhgc 站到
uhgd 前些天
uhgf 疲于
uhgg 丫环
uhgn 疵瑕
uhgu 装点一新
uhh 癯
uhhh 亲眼目睹
uhhk 站点
uhhy 癯
uhia 站满
uhij 疲沓
uhk 丫
uhkg 站
uhki 站哨
uhkk 养虎遗患
uhlg 交战国
uhlq 疲软
uhls 疲困
uhlx 疲累
uhmm 站岗
uhmw 站内
uhnt 前瞻性
uhpg 站定
uhph 阒寂
uhpk 闭目塞听
uhqd 阒然
uhqk 站名
uhqt 癞皮狗
uhqu 送旧迎新
uhrt 丫挺
uhsc 丫杈
uhsf 站票
uhsh 站相
uhst 冷眼相待
uhsy 站桩
uht 夔
uhta 站长
uhth 站牌
uhtl 疲惫
uhtp 疲乏
uhtq 站稳
uhtr 首战告捷
uhtt 夔
uhuc 冷眼旁观
uhud 丫头
uhue 站前
uhup 闭目养神
uhuq 站姿
uhuu 站立
uhuy 送上门
uhwu 疲倦
uhwy 站住
uhx 疵
uhxq 羊皮纸
uhxu 疲弱
uhxv 疵
ui 冰
uiad 冰期
uiaf 冰鞋
uiai 瘠薄
uiau 首当其冲
uiaw 冰花
uibp 商学院
uicj 资治通鉴
uidd 阔大
uidf 冰砖
uidg 产学研
uidh 逆流而上
uidi 竭泽而渔
uidm 冰面
uidp 阔达
uidt 斗酒百篇
uiem 冰肌
uifd 冰城
uiff 冰封
uifn 冰块
uifq 冰雹
uifs 冰霜
uift 冰雾
uifv 冰雪
uigf 冰球
uigh 背水一战
uigi 冰清玉洁
uigq 冰消瓦解
uigx 冰毒
uihh 冰上
uihi 阔步
uihk 冰点
uii 痧
uiig 冷清清
uiii 冰水
uiiq 冰光
uiis 冰河
uiit 痧
uiiu 美滋滋
uiiw 冰浴
uijf 阔野
uijj 冰晶
uijn 交流电
uikf 阔叶
uikl 阔别
uikt 冰川
uimd 冰岩
uimf 冰雕
uimm 冰山
uimt 冰峰
uinf 冰层
uini 冰屑
uiny 冰心
uios 闪光灯
uiou 冰糕
uioy 冰糖
uipf 冰寒
uipg 冰室
uipw 冰窖
uiqf 冰镇
uiqn 盖浇饭
uiqq 奖学金
uiqt 关汉卿
uiqw 冰锥
uiqy 冰岛
uirf 冰挂
uirn 阔气
uirq 前清后欠
uisa 冰柜
uisc 立法权
uisd 冰棒
uisf 冰棱
uisg 新泽西
uisj 冰棍
uist 冰橇
uisy 冰柱
uit 阔
uitd 阔
uite 冰船
uith 冰片
uito 冰释
uits 冰箱
uitt 逆水行舟
uiua 冰冻
uiuf 冰激凌
uiug 冰盖
uiut 北海道
uiuw 冰冷
uiuy 冰凉
uivn 冰刀
uivv 美少女
uiw 瘠
uiwa 冰袋
uiwe 瘠
uiwf 阔佬 交流会
uiwt 普渡众生
uiww 冰人
uixh 阔绰
uixu 闪光弹
uiy 冰
uiyc 门当户对
uiyi 交浅言深
uiys 冰床
uiyt 资深望重
uj 间
ujaa 童工
ujab 章节 音节
ujad 单项
ujae 闽菜
ujaf 童鞋
ujai 单薄
ujak 间或
ujal 间苗
ujap 童蒙
ujaq 音区
ujar 意匠
ujax 意蕴
ujb 鄣
ujbb 单子
ujbg 间隔
ujbh 鄣
ujbi 间隙
ujbu 音障
ujbw 音阶
ujcd 单骑
ujce 竟能
ujcy 音叉
ujd 间
ujda 单碟
ujdc 音码
ujde 竟有
ujdh 意在
ujdi 音耗
ujdm 单面
ujdn 竟成
ujdp 竟达
ujdr 意愿
ujdt 单帮
ujdw 并日而食
uje 彰
ujef 韵脚
ujet 彰
ujf 音
ujfa 音域
ujfb 郸
ujfc 意动
ujfe 冁
ujff 童
ujfg 单干
ujfh 童趣 意趣
ujfi 竟未
ujfj 单
ujfm 单击 闽南
ujfn 意志
ujfp 单过
ujfq 单元
ujfu 意境
ujg 疸
ujga 音形
ujgc 韵致
ujgd 疸
ujge 意表
ujgf 单于
ujgg 单一
ujgk 音速 音带
ujgq 单列
ujgx 音素
ujha 头晕眼花
ujhh 头晕目眩
ujhi 音频
ujhk 闪电战
ujhm 童贞
ujhv 单眼
uji 闽
ujia 赣江
ujid 音源
ujie 意淫
ujif 章法
ujih 音波
ujiq 韶光
ujiw 意兴
ujj 章
ujja 癞蛤蟆
ujjd 阊
ujje 彰明
ujjg 竟是 音量
ujjj 单日
ujjo 彰显
ujjq 间歇
ujjt 童星
ujkf 意味 韵味
ujkg 单号
ujkh 间距
ujkk 单口
ujkt 音响
ujl 瘟
ujld 瘟
ujlg 单车
ujlh 意甲
ujlk 章回
ujll 童男
ujln 意思
ujlp 竟连
ujlt 意图 竭力
ujlv 单轨
ujma 单曲
ujmj 章则
ujmm 韶山
ujmq 意见
ujn 意
ujnb 竟敢
ujnf 单层
ujnk 间壁
ujnn 韵书
ujnt 单发
ujnu 意
ujny 童心 竭尽
ujon 间断
ujou 意料
ujov 单数
ujoy 单糖
ujpb 单字
ujpd 病虫害
ujpg 阅览室
ujpw 音容
ujpy 瘟神
ujq 竟
ujqb 竟
ujqc 单色 音色
ujqd 竟然
ujqe 意解
ujqf 逆时针
ujqg 章鱼
ujqh 意外
ujqi 音乐
ujqj 意象
ujqk 单句 章句
ujqn 竭
ujqt 单独
ujqu 韵
ujqv 单键
ujqw 歆
ujrf 音质
ujrh 童年
ujri 单挑
ujrl 单摆
ujrn 单据 意气 交易所
ujrr 韵白
ujrs 单打
ujrt 单手
ujru 间接
ujrx 意指 单指
ujsa 单杠
ujse 单极
ujsf 音标
ujsh 意想
ujsm 单机
ujsr 单板
ujsv 竟要
ujsy 单核
ujt 赣
ujta 音长
ujtd 意乱
ujte 韶秀
ujtf 单选 单行
ujtk 章程 单程
ujtm 意向 单身 单向 赣
ujtn 戆
ujts 音箱
ujtu 单科
ujtv 韵律 音律
ujtw 音符 童稚
ujuc 单瘫
ujud 韶关
ujuf 童装
ujug 瘟病
ujuj 单单 单间 音韵
ujum 瘟疫
ujuq 音效
ujur 单瓣
ujus 单亲
ujut 单产
ujuw 音准
ujv 韶
ujvc 意即
ujvk 韶
ujvn 单刀
ujvs 间杂
ujvt 单姓
ujvv 童女
ujwd 音段
ujwf 意会 交易会
ujwg 童便
ujwh 单个
ujwm 单侧
ujwq 音像
ujws 单体
ujwt 单凭
ujwu 单位
ujww 单价 单人 意欲
ujwx 韶华
ujwy 意念 音信
ujxf 意绪
ujxg 单纯 韵母
ujxj 意旨
ujxk 音强
ujxu 单弱
ujxx 单比
ujxy 单弦
ujya 间谍
ujyb 间离
ujyc 音译 意译
ujyd 竭诚
ujye 童谣
ujyf 音读
ujyg 韵语
ujyi 单就
ujyk 意识
ujyl 意为
ujym 单调 音调
ujyn 单词 音讯
ujyo 单恋
ujyq 意义
ujys 将遇良材
ujyt 童话
ujyu 单说
ujyw 竟夜
ujyy 单方 韵文
uk 部
ukaa 总工
ukad 问其
ukae 冲散
ukai 部落
ukan 问世
ukat 总攻
ukaw 总共
ukax 问药
ukb 部
ukbb 半吊子
ukbc 兑取
ukbg 闹中取静
ukbh 部
ukbm 冲出
ukbp 半路出家
ukbw 部队 总队
ukca 冲劲
ukcd 总参
ukce 总能
ukck 总台
ukcw 问难
ukd 问
ukdb 冲口而出
ukde 总有
ukdf 冲压
ukdg 总厂
ukdh 冲破
ukdm 剖面
ukdn 总成
ukeb 冲服
ukeg 况且
ukek 癌肿
ukep 竞逐
ukes 半中腰
uket 剖腹
ukey 问及
ukfa 总裁
ukfc 冲动
ukfd 冲垮
ukff 兑款
ukfh 问起 冲走
ukfj 冲进
ukfk 冲喜
ukfm 冲击
ukfn 竞卖
ukfp 冲过
ukft 病患者
ukfu 减员增效
ukg 瓿
ukga 剖开
ukgc 问到
ukgd 冲天
ukge 总表
ukgh 部下
ukgj 总理
ukgk 美中不足
ukgm 兑现 冲刺
ukgn 瓿
ukgy 闭口不言
ukh 冲
ukhh 总目 冲
ukhi 总督
ukhk 立足点
ukhn 问鼎
ukia 总汇
ukii 痛哭流涕
ukik 冲澡
ukio 冲淡
ukiq 冲泡
ukit 冲洗 意味深长
ukiv 问津
ukiy 冲浪
ukj 剖
ukje 问明
ukjg 问题 总是 总量
ukjh 剖
ukjt 总监
ukjv 总归
ukk 癌
ukka 闹哄哄
ukkd 闾
ukkg 问号
ukkh 问路
ukkm 癌
ukky 闹嚷嚷
ukld 问罪
uklf 部署 总署
uklr 问斩
uklt 冲力
uklw 总办
ukma 交响曲
ukmj 总则
ukmm 竞岗
ukmt 总账
ukn 总
uknh 道路以目
uknm 冲刷
uknn 总局
uknt 部属
uknu 总 竞买
ukny 问心
ukod 部类
ukov 总数
ukpf 竞赛
ukpp 总之
ukpt 总额
ukpv 问安
ukpw 冲突
ukpy 总社
ukq 况 竞
ukqa 冲昏
ukqb 兑 竞
ukqe 剖解
ukqg 冲印
ukqi 交响乐
ukqk 问句
ukqn 况
ukqs 冲杀
ukqt 竞猜 冲锋
ukqv 竞争
ukrf 竞技
ukrg 总后
ukrh 冲掉
ukrj 总揽
ukrm 竞投
ukrq 兑换
ukrr 竞拍 前呼后拥
ukrt 总括
ukru 冲撞
ukry 冷嘲热讽
uksa 冲模
uksd 冲顶
uksf 竞标
uksh 竞相
uksm 总机
uksr 剖析
uksv 总要
ukta 部长
ukte 竞秀
uktf 竞选
ukth 总算
ukti 交口称誉
uktj 总得
uktk 总和
uktl 总务
uktm 冲向
uktp 总管
uktq 总称
uktt 交口称赞
uktv 部委
uktw 问答
uktx 总第
ukty 冲入
ukud 问卷
ukuf 总装
ukug 癌症
ukuh 总站
ukuj 总章
ukuk 总部
ukun 冲决
ukuq 兑奖
ukut 问道 部首
ukux 亲兄弟
ukuy 部门
ukva 冲毁
ukvb 问好
ukwa 问供
ukwd 部优
ukwf 总会 总值 兑付
ukwg 总合
ukwh 问候
ukwq 美味佳肴
ukwr 部件
ukws 总体
ukwu 部位
ukwv 部分 总分
ukww 竞价 总价 意中人
ukwx 商品化
ukwy 道听途说
ukxe 部级
ukxf 总结
ukxg 总线
ukxj 养路费
ukxk 冲绳
ukxm 总纲
ukxx 总比
ukxy 总统 总编
ukya 旁听席
ukyf 总计
ukyg 总评
ukyh 总店
ukyj 冲剂
ukym 冲高
ukyn 问讯
ukyo 癌变
ukyq 问询
ukys 冲床
ukyt 问话
ukyu 总说
ukyw 总论
ukyy 总该
ul 曾
ulai 曾国藩
ulat 兽医
ulaw 善罢甘休
ulax 兽药
ulbb 瘸子
ulbi 曾孙
ulcf 曾对
ulcs 斗转参横
uld 痼
uldd 痼
ulde 曾有
uldh 曾在
ulev 瘸腿
ulfh 新加坡
ulfw 善罢干休
ulg 兽
ulgd 半边天
ulgf 曾于
ulgg 阎罗王
ulgj 痹
ulgk 兽
ulhc 兽皮
ulhk 着力点
ulj 曾
uljf 曾
uljg 曾是
uljn 甑
uljt 斗转星移
uljx 北回归线
ulk 闸
ulkd 痂
ulkk 闸口
ulkw 瘸
ullg 装甲车
ulnt 兽性
ulny 曾以
uloa 普罗米修斯
ulod 兽类
ulpj 前车之鉴
ulpl 新四军
ulpp 靖国神社
ulpu 美国之音
ulpw 兽窟
ulpy 曾祖
ulqk 背黑锅
ulqv 痴男怨女
ulrg 装甲兵
ulrj 前因后果
ulrs 前思后想
uls 阃
ulsh 曾想
ulsi 阃
ulsj 前车可鉴
ultf 兽行
ulud 瘰疬
ulug 痹症
ulum 兽疫
uluq 兽交
ulut 痼疾
uluw 闸阀
ulux 闸北
uluy 闸门
ulvj 兰因絮果
ulvn 闸刀
ulvt 兽群
ulwf 美国佬
ulwj 奖罚分明
ulws 章回体
ulwt 曾任
ulwv 善男信女
ulww 兽欲
ulx 瘰
ulxc 曾经
ulxi 瘰
ulyc 并驾齐驱
ulyu 曾说
ulyy 帝国主义
um 商
umab 端节
umaf 凄风苦雨
umah 端雅
umai 凋落
umal 疫苗
umaq 疫区
umat 凋萎
umaw 端茶
umbb 疯子
umbj 端阳
umbm 端出
umbn 疯了
umbw 商队
umc 疫
umci 疫
umd 端
umdd 商厦
umdf 闻风而动
umdg 闻风而至
umdi 闻风而逃
umdj 端
umdm 端面
umdq 飒爽
umef 蹩脚
umet 商用
umev 商妥
umf 凋
umfd 商城
umfe 闻风丧胆
umfh 端直
umfj 商朝
umfk 凋
umfn 商场
umft 商都
umfw 凋零 商埠
umfy 病骨支离
umgh 端正
umgm 端丽
umgq 凋残
umhh 端上
umhj 敝旧
umhk 商战
umi 敝 蹩
umia 弊
umif 商法
umig 鳖
umih 瞥 蹩
umin 憋
umit 敝 商海
umiw 商洽
umjf 疾风暴雨
umjg 商量
umk 疝
umkg 商号
umkk 商品 端口
umlf 商团
umlk 辛迪加
umlu 商圈
umlw 商界
umm 瘿
ummh 端由
ummm 瘦骨嶙峋
ummq 瞥见
ummr 商贩
ummt 凋败
ummv 瘿
ummw 亲骨肉
umna 商展
umnb 憋屈
umnf 疾风迅雷
umng 商情 疫情
umnn 意见书
umnt 敝屣
umog 商业
umov 商数
umpd 弊害
umpe 商家
umpg 商定
umpy 商社
umq 疯
umqd 飒然
umqg 商铺
umqi 疯
umqt 疯狂
umqy 商贸 飒
umrb 商报
umrg 商丘
umrn 憋气
umrq 端的
umru 端接
umsd 凋枯
umsf 商标
umsg 商酌
umsh 端相
umsm 商机
umsp 商榷
umsr 剪贴板
umss 端木
umsw 商检
umte 商船
umtf 商行 端午
umtl 商务
umts 意见箱
umtu 商科
umtv 商委
umud 端着
umuf 疯癫
umug 弊病
umuk 商兑
umum 弊端 凋敝
umun 憋闷
umw 商
umwa 商代
umwb 旁见侧出
umwf 商会
umwj 曾几何时
umwk 商
umwv 端倪
umww 商人
umwy 憋住
umxf 端绪
umxg 端线
umxq 商约
umyf 商讨 端庄
umyh 商店
umym 商调
umyn 商户
umyo 商谈
umys 疯魔
umyt 凋谢
umyu 端详
umyy 商议
un 决
una 癜
unaa 首发式
unac 癜
unae 卷心菜
unb 阚
unbm 决出
unbt 阚
uncc 闷骚
undj 决非
undn 问心有愧
unet 决胜
unfj 决堤
unfl 闷雷
unfn 问心无愧
unfq 决无
ung 翊
ungg 决一
ungi 决不
ungq 决裂
ungr 首屈一指
unh 瘕
unhc 瘕
unhk 决战
uni 闷
unii 痛快淋漓
unim 半壁江山
unis 闷酒
unk 癖
unkk 决口
unku 癖
unnd 病恹恹
unnt 癖性
unny 决心
unon 决断
unoo 阑尾炎
unpb 六尺之孤
unpf 决赛
unpg 决定
unpv 决案
unqd 决然
unqg 闲情逸致
unqt 前怕狼
unr 疡
unre 疡
unrn 闷气
unrp 交臂失之
unrv 闷热
unsj 闷棍
unsy 首尾相应
untg 决策
unth 决算
unty 总收入
unua 兼收并蓄
unud 痛改前非
unuf 决斗
unug 并发症
unuh 慈眉善目
unuj 决意
unuu 痛心疾首
unvb 癖好
unvu 遂心如意
unw 决
unwe 瘳
unwl 竭尽全力
unwp 道尽途穷
unws 半导体
unwu 闷倦
unwy 决 总司令
unxn 将心比心
unxq 决绝
unyf 决计
unyn 总书记
unys 痴心妄想
unyy 决议
uo 普
uoan 普世
uoaq 养精蓄锐
uoat 闪烁其辞
uoay 闪烁其词
uobp 普陀
uobt 普降
uoce 普通
uodg 卷烟厂
uodm 塑料布
uoey 普及
uoft 普教
uog 普
uogd 普天
uogf 痰盂
uogj 普
uogn 痴迷不悟
uoib 普洱
uoif 普法
uoim 普测
uoix 普涨
uoiy 普渡
uojc 普贤
uojv 普照
uokm 痰喘
uolq 普罗
uolt 判断力
uolw 产业界
uont 商业性
uoo 痰
uooi 痰
uoqi 普尔
uosj 普查
uosp 剪烛西窗
uotd 普适
uotf 普选
uotp 瘘管
uotr 普特
uov 瘘
uovd 瘘
uovt 普九
uowa 塑料袋
uowx 产业化
uoya 普度
uoyi 普京
uoyl 资料库
uoym 普高
uoyn 普遍
up 帝
upad 产褥期
upai 旁落
upbm 旁出
upbp 美容院
upcb 旁骛
upcm 旁观
updb 旁顾
updr 慈禧太后
upef 将军肚
upey 旁及
upfc 旁支
upft 帝都
upfu 亲密无间
upfy 六神无主
upgg 帝王
upgp 六神不安
upgr 装神弄鬼
upho 新官上任三把火
uphw 新官上任
upik 养家活口
upiy 旁注
upkg 帝号
upkh 旁路
upkr 旁听
uplg 帝国
uplp 旁边
uplt 剖视图
uplu 痛定思痛
upm 帝
upmh 帝
upmk 啻
upnt 兼容性
upok 养家糊口
uppd 音容宛在
upqt 盗窃犯
upqu 郊寒岛瘦
upqy 闻之色变
uprm 帝制
uprr 旁白
upsc 决赛权
upsf 旁枝
upsm 兼容机
upte 音容笑貌
uptx 旁系
upuj 问寒问暖
upuq 兼容并包
upuy 旁门
upvt 帝君
upwc 亲家公
upwm 旁侧
upwu 帝位
upww 旁人
upxg 亲家母
upy 旁
upyb 旁
upyd 差之毫厘
upyg 旁证
upyi 冶容诲淫
uq 交
uqa 阍
uqaa 交工
uqad 将其 奖项 盗匪
uqae 酱菜
uqaj 盗墓 阍
uqap 效劳
uqaq 交警 郊区
uqb 郊
uqbb 冲锋陷阵
uqbc 盗取
uqbf 交际
uqbh 郊
uqbm 交出
uqcc 交叠
uqce 交通 效能
uqck 奖台
uqcq 交欢
uqcw 效验
uqcy 交叉
uqd 奖
uqda 瓷碟
uqdc 交友
uqdd 奖励
uqde 将有
uqdf 瓷砖
uqdg 交感
uqdl 资历
uqdn 效尤
uqdp 将达
uqds 音乐厅
uqdu 奖
uqdv 恣肆
uqdy 姿态
uqee 头昏脑胀
uqeg 资助
uqet 效用 盗用
uqf 将
uqfc 盗劫
uqff 净土
uqfg 将士 普鲁士
uqfn 意犹未尽
uqfp 瓷壶
uqft 将才
uqfu 净增
uqfw 交替
uqfy 将
uqg 癣
uqga 闻名于世
uqgb 道尔顿
uqgc 将至
uqgd 癣
uqgf 将于 次于
uqgg 阎王
uqgh 资政
uqgi 交还
uqgk 交融
uqgo 将来
uqgq 效死
uqgx 交互
uqgy 交班
uqha 头昏眼花
uqhh 交上
uqhi 效颦
uqhk 交战 交点
uqhw 恣睢
uqhx 酱紫
uqi 浆
uqia 交汇
uqic 门外汉
uqid 资源
uqif 效法
uqig 门儿清
uqih 交涉
uqii 净水
uqim 酱油
uqip 资深 奖赏
uqiq 交辉
uqir 意象派
uqis 瓷漆
uqit 浆洗
uqiu 浆
uqiy 交流
uqj 阄
uqjf 郊野
uqjg 将是
uqjj 次日
uqjm 将帅
uqjn 阄
uqjq 交易
uqjs 效果
uqjt 将临
uqkf 桨叶
uqkh 效忠
uqkk 奖品 瓷器 次品
uqkt 交响
uqlg 盗车
uqlk 交加
uqll 次男
uqlp 交边
uqlq 阎罗
uqls 交困
uqlt 效力
uqlw 交界
uqly 奖罚
uqm 痪
uqma 盗贼
uqmd 痪
uqmf 资财
uqmm 头角峥嵘
uqmt 交账
uqmu 净赚
uqmw 酱肉
uqn 疱
uqnd 音乐剧
uqnf 将尉
uqng 交情
uqnk 交臂
uqnq 闻名遐迩
uqnt 交尾
uqnv 疱
uqny 交心
uqod 浆糊
uqoo 交火
uqou 资料
uqov 次数
uqow 瓷粉
uqpb 关键字
uqpd 交割 阄割
uqpe 音乐家
uqpf 立锥之地
uqpl 将军
uqpn 将官
uqpp 次之
uqpt 净额
uqpu 将被
uqpv 盗案
uqpw 盗窃
uqqa 交错
uqqc 姿色
uqqe 交角
uqqg 交钱
uqqh 郊外
uqqk 盗名
uqql 盗链
uqqq 资金 奖金
uqqt 交锋
uqrd 交拜
uqrf 资质
uqrg 交兵
uqrh 次年
uqrm 瓷缸
uqrn 盗掘
uqrp 将近
uqrq 交换
uqrr 净白
uqrt 交手
uqru 交接
uqrv 姿势
